tid,time,day,poi,type,root_type,rating,weather,label
5184,1056,Tuesday,my bed,Strip Club,Nightlife Spot,-1.0,Clear,185
5184,1099,Tuesday,nanas :),American Restaurant,Food,-1.0,Clear,185
5184,1191,Tuesday,The Bush Hot Tub :),Pool,Outdoors & Recreation,-1.0,Clear,185
5184,1261,Tuesday,The Hang Out,Other Nightlife,Nightlife Spot,-1.0,Clouds,185
5184,1320,Tuesday,The Bush Hideout,Speakeasy,Nightlife Spot,-1.0,Clouds,185
5184,1387,Tuesday,YJCC,Music Venue,Arts & Entertainment,-1.0,Clouds,185
5184,1428,Tuesday,Gardner Field,Park,Outdoors & Recreation,-1.0,Clouds,185
5184,418,Wednesday,Garden State Parkway Park & Ride,Bus Line,Travel & Transport,-1.0,Clouds,185
5184,518,Wednesday,nanas :),American Restaurant,Food,-1.0,Clear,185
5184,622,Wednesday,Bacari Grill,American Restaurant,Food,8.8,Clear,185
5184,744,Wednesday,The Hang Out,Other Nightlife,Nightlife Spot,-1.0,Clear,185
5184,795,Wednesday,YJCC,Music Venue,Arts & Entertainment,-1.0,Clear,185
5184,881,Wednesday,Four Seasons,Hotel,Travel & Transport,-1.0,Clear,185
5184,934,Wednesday,The Bush Hot Tub :),Pool,Outdoors & Recreation,-1.0,Clear,185
5184,1128,Wednesday,Gardner Field,Park,Outdoors & Recreation,-1.0,Clear,185
5184,581,Friday,Bacari Grill,American Restaurant,Food,8.8,Clear,185
5184,645,Friday,Gardner Field,Park,Outdoors & Recreation,-1.0,Clear,185
5184,702,Friday,The Bush Hideout,Speakeasy,Nightlife Spot,-1.0,Clear,185
5184,559,Saturday,nanas :),American Restaurant,Food,-1.0,Clear,185
5184,601,Saturday,The Hang Out,Other Nightlife,Nightlife Spot,-1.0,Clear,185
5184,712,Saturday,Four Seasons,Hotel,Travel & Transport,-1.0,Clear,185
5184,765,Saturday,YJCC,Music Venue,Arts & Entertainment,-1.0,Clear,185
5184,820,Saturday,Bacari Grill,American Restaurant,Food,8.8,Clear,185
5184,862,Saturday,The Bush Hot Tub :),Pool,Outdoors & Recreation,-1.0,Clear,185
5184,900,Saturday,Gardner Field,Park,Outdoors & Recreation,-1.0,Clear,185
5184,916,Saturday,Crowne Plaza Paramus,Hotel,Travel & Transport,-1.0,Clear,185
5184,979,Saturday,Chase Bank,Bank,Shop & Service,7.1,Clear,185
5184,997,Saturday,US Post Office,Post Office,Professional & Other Places,-1.0,Clear,185
5184,1078,Saturday,my bed,Strip Club,Nightlife Spot,-1.0,Clear,185
5184,1366,Saturday,Parkway Elementary School,Elementary School,Professional & Other Places,-1.0,Clouds,185
5184,50,Sunday,Starbucks,Coffee Shop,Food,7.4,Clouds,185
5184,201,Sunday,Isabel's AMAZING Kitchen,Cuban Restaurant,Food,-1.0,Clear,185
5184,229,Sunday,Garden State Parkway Park & Ride,Bus Line,Travel & Transport,-1.0,Clear,185
5184,260,Sunday,BPIT Softball BBQ,Restaurant,Food,-1.0,Clear,185
5184,582,Sunday,Dunkin Donuts,Donut Shop,Food,7.2,Clear,185
5184,618,Sunday,King Pizza,Pizza Place,Food,6.8,Clear,185
5184,684,Sunday,The Bush Hideout,Speakeasy,Nightlife Spot,-1.0,Clear,185
5184,720,Sunday,The Hang Out,Other Nightlife,Nightlife Spot,-1.0,Clear,185
5184,1094,Sunday,Bacari Grill,American Restaurant,Food,8.8,Clear,185
5184,1117,Sunday,The Bush Hot Tub :),Pool,Outdoors & Recreation,-1.0,Clear,185
5185,492,Monday,nanas :),American Restaurant,Food,-1.0,Clear,185
5185,610,Monday,Gardner Field,Park,Outdoors & Recreation,-1.0,Clear,185
5185,653,Monday,The Hang Out,Other Nightlife,Nightlife Spot,-1.0,Clear,185
5185,709,Monday,Bergen County Vocational High School,High School,Professional & Other Places,-1.0,Clear,185
5185,785,Monday,The Bush Hot Tub :),Pool,Outdoors & Recreation,-1.0,Clouds,185
5185,819,Monday,The Bush Hideout,Speakeasy,Nightlife Spot,-1.0,Clear,185
5185,883,Monday,my bed,Strip Club,Nightlife Spot,-1.0,Clouds,185
5185,944,Monday,Bacari Grill,American Restaurant,Food,8.8,Clouds,185
5185,1037,Monday,Crowne Plaza Paramus,Hotel,Travel & Transport,-1.0,Clouds,185
5185,1278,Monday,Parkway Elementary School,Elementary School,Professional & Other Places,-1.0,Clear,185
